begin,end,length,straightdis,sinuosity
"2","53",60.1959337246407,60.1959337246407,1
"2","53",225.005297699931,225.005297699931,1
"2","53",310.005185250099,310.005185250099,1
"2","53",288.040354009686,288.040354009686,1
"2","53",251.956177816775,251.956177816775,1
"2","53",297.120015253065,297.120015253065,1
"2","53",410.001815182625,410.001815182625,1
"2","53",227.45847878251,227.45847878251,1
"2","53",372.540449682597,372.540449682597,1
"2","53",329.999974985063,329.999974985063,1
"2","53",389.995070898066,389.995070898066,1
"2","53",260.577098955764,260.577098955764,1
"2","53",50.986919508687,50.986919508687,1
"2","53",335.004821722076,335.004821722076,1
"2","53",292.329971292801,292.329971292801,1
"2","53",275.96971386325,275.96971386325,1
"2","53",365.000176248033,365.000176248033,1
"2","53",220.000323059077,220.000323059077,1
"2","53",314.999807520527,314.999807520527,1
"2","53",354.999554019325,354.999554019325,1
"2","53",211.140680708612,211.140680708612,1
"2","53",208.857275374958,208.857275374958,1
"2","53",239.959542894057,239.959542894057,1
"2","53",305.039964111207,305.039964111207,1
"2","53",285.004527018171,285.004527018171,1
"2","53",255.004180346037,255.004180346037,1
"2","53",230.001126034664,230.001126034664,1
"2","53",268.653845537276,268.653845537276,1
"2","53",271.297660012025,271.297660012025,1
"2","53",349.073925318066,349.073925318066,1
"2","53",252.903614462042,252.903614462042,1
"2","53",253.085799664561,253.085799664561,1
"2","53",339.950931076917,339.950931076917,1
"2","53",249.995180107821,249.995180107821,1
"2","53",395.004265670535,395.004265670535,1
"2","53",225.000525941441,225.000525941441,1
"2","53",324.999733332484,324.999733332484,1
"2","53",264.659357034376,264.659357034376,1
"2","53",290.337977939518,290.337977939518,1
"2","53",459.998325062074,459.998325062074,1
"2","53",225.000004111297,225.000004111297,1
"2","53",324.995175084118,324.995175084118,1
"2","53",460.000051440271,460.000051440271,1
"2","53",365.003287286615,365.003287286615,1
"2","53",254.998853742365,254.998853742365,1
"2","53",244.999338946122,244.999338946122,1
"2","53",355.003995669115,355.003995669115,1
"2","53",314.995883466746,314.995883466746,1
"2","53",309.994998670833,309.994998670833,1
"2","53",305.003861649378,305.003861649378,1
"2","53",286.977264251085,286.977264251085,1
